,user_id,username,alpha_badge,review_count,account_level,badges
53,nicki_subianto,Super Dad,no badge,4,1,no badge
54,iin_puspasari,Iin Puspasari,no badge,91,8,"Dessert,"
55,alvin_johanes,Alvin Johanes,Alfa 2021,641,15,"Steak,Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Pasta,Sushi,Burger,Dessert,"
56,all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1892,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
57,kulineran_aja,@kulineran_aja,no badge,697,15,"Steak,Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
58,kulineran_aja,@kulineran_aja,no badge,697,15,"Steak,Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
59,awakmutukangmakan,awakmutukangmakan,Alfa 2021,424,13,"Steak,Kopi,Bakmi,Pasta,Sushi,Burger,Dessert,"
60,ReviewnyaDikadanOpik,Review Dika & Opik (@go2dika),Alfa 2021,900,17,"Steak,Dimsum,Seafood,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
61,francinealexandra,Francine Alexandra,Alfa 2021,905,17,"Steak,Ramen,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
62,Isabelldc,Isabella Chandra,Alfa 2021,515,13,"BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Dessert,Bubble Tea,"
63,NOTIFOODCATION,"NOTIFOODCATION Notice, Food, & Location",no badge,53,8,no badge
64,kulineran_aja,@kulineran_aja,no badge,697,15,"Steak,Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
65,eatmewhileimhot,Rurie,no badge,244,11,"Kopi,Pizza,Burger,Dessert,Bubble Tea,"
66,all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1892,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
67,all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1892,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
68,rohmando,Fadhlur Rohman,no badge,938,17,"Steak,Ramen,BBQ,Pancake,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
69,meliricjourney,meliricjourney,no badge,22,4,no badge
70,menik,menik,no badge,1,1,no badge
71,eatandleisure,Eat and Leisure,no badge,322,13,"Steak,Kopi,Bakmi,Pasta,Burger,Dessert,"
72,kulineran_aja,@kulineran_aja,no badge,697,15,"Steak,Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
73,kulineran_aja,@kulineran_aja,no badge,697,15,"Steak,Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
74,nicki_subianto,Super Dad,no badge,4,1,no badge
75,_winamf,Wina M. Fitria,Alfa 2018,296,12,"Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
76,wahyu.di,Wahyudi Oka,no badge,14,3,no badge
77,yustina_meranjasari,Yustina Meranjasari,no badge,63,7,no badge
78,kuliner_addict_bandung,Kuliner Addict Bandung,no badge,857,15,"Steak,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,"
79,_winamf,Wina M. Fitria,Alfa 2018,296,12,"Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
80,salma_shofiyyah,Salma Shofiyyah,no badge,58,6,no badge
81,william_wilz,William Wilz,Alfa 2021,1204,17,"Steak,Ramen,Chinese Food,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Dessert,Bubble Tea,"
82,Novita,Novita Purnamasari,no badge,301,13,"Steak,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,"
83,_winamf,Wina M. Fitria,Alfa 2018,296,12,"Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
84,_winamf,Wina M. Fitria,Alfa 2018,296,12,"Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
85,hendy_christianto_chandra,Chris Chan,no badge,2050,19,"Steak,Ramen,Chinese Food,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
86,kulineran_aja,@kulineran_aja,no badge,697,15,"Steak,Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
87,maria_vincentia,Maria Vincentia,no badge,27,4,no badge
88,all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1892,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
89,kuliner_addict_bandung,Kuliner Addict Bandung,no badge,857,15,"Steak,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,"
90,kuliner_addict_bandung,Kuliner Addict Bandung,no badge,857,15,"Steak,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,"
91,ZELIG,@teddyzelig,Alfa 2019,1210,18,"Steak,Ramen,Chinese Food,Seafood,Pancake,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
92,_winamf,Wina M. Fitria,Alfa 2018,296,12,"Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
93,salma_shofiyyah,Salma Shofiyyah,no badge,58,6,no badge
